stars,month,year,sentiment,review
1.0,September,2023,negative,Not easy to use
5.0,February,2023,positive,Perfect
5.0,September,2022,positive,Need to learn it's usage.
5.0,May,2022,positive,A quality product and very useful also. It completes rest of the activities left by a tooth brush.
5.0,February,2020,positive,It is a very good product for deep cleaning and easy to use as well. Wish it were readily available at pharmacies! Thank you Amazon for procuring for me.
5.0,January,2020,positive,Good product
2.0,February,2019,neutral,It was not upto our expectations.
4.0,February,2019,positive,My mom likes this product and I didn't find it in stores...so got it on Amazon. It has good durability and good for oral hygiene.
5.0,December,2018,positive,orginal super floss helps to do self cleansing of the teeth and helps to remove all the food particles with ease
5.0,June,2018,positive,Very useful for people with wider gaps at the bottom end of the teeth.
