stars,month,year,sentiment,review
4.0,January,2024,positive,Good
3.0,December,2023,positive,average
5.0,December,2023,positive,Better
5.0,October,2023,positive,"Nice product, feeling good after brush."
4.0,September,2023,positive,Good
5.0,August,2023,positive,Amazing product
5.0,August,2023,positive,"Taste, consistency and form superb.Highly recommended."
5.0,July,2023,positive,Nice product..
5.0,June,2023,negative,Teeth whitening...
3.0,June,2023,positive,A good product from Himalaya! Hope they make it mintier if possible!
