Stars,Month,Year,Sentiment_label,Review_text
1.0,February,2024,negative,"It has glycerine(alcohol substance), Propylene Glycol (alcohol substance), Benzyl AlcoholWhy fool people by saying ""No Alcohol"" Utter nonsense"
2.0,January,2024,negative,Says  alcohol free mouth wash which it isn't. please read ingredients  it has alochol and other harsh ingredients
2.0,December,2023,negative,"This will make you feel nauseated, very strong smell🤢"
2.0,November,2023,neutral,"It tastes like tabacco.Doesn't feel refreshened.Better to try Hiora, same Himalaya brand."
1.0,January,2024,positive,Tastes awful
1.0,December,2023,negative,Saunf and mint flavor is best but this Miswak flavor is too bad its like Indian Gutkha's smell. Will neither buy nor recommend...
1.0,September,2023,negative,"Says No Alcohol on the front but the ingredients say benzyl alcohol! People look for no alcohol mouthwashes for various reasons - professions where breath analysis is a daily practise, pregnancy etc.. so why deceive people under the garb of ayurveda? Did not expect this from Himalaya, a trusted ayurveda brand."
1.0,October,2023,negative,The item dispatched has ingredients like propylene glycol which is basically an alcohol but product description shows it is alcohol free. Amazon should return my money
1.0,November,2023,negative,It's given not seal product and old stock ......
1.0,November,2023,negative,Really bad product
1.0,October,2023,negative,Very bad smell and not long lasting
1.0,August,2023,positive,Pathetic smell
