Stars,Month,Year,Sentiment_label,Review_text
3.0,December,2023,negative,Not effective
1.0,February,2024,negative,"It's been a month now Using this product and teeth are still same colour, yellow.."
3.0,February,2024,positive,"No idea about ingredients, but no foam as in toothpaste foam is good for us to use it"
3.0,January,2024,positive,Average toothpaste
3.0,January,2024,neutral,Product was gd but packing was not gd
3.0,November,2023,negative,It's very dry and that doesn't work what they mentioned on their pack.
2.0,January,2024,positive,below average
3.0,August,2023,negative,taste goodcleaning teeth averagefreshness averagerecommended NOI am confused about the thing there is no symbol of veg or non-veg. I am not going to buy it again.
2.0,September,2023,negative,"Has No Foam, so turns fully liquidy while Brushing, which then doesn't clean many areas of the mouth. The Mint flavor/smell exists only while Brushing, but disappears immediately once you flush your mouth with water. Absolutely does nothing to maintain Fresh Breath as all other toothpastes do! It's just like using a piece of raw charcoal to brush on teeth. It's the First Brand of Toothpaste that I actually threw out!"
2.0,November,2023,negative,Just a waste of money doest not work.
1.0,January,2024,negative,I like the Bentodent product but the packaging and delivery of Amazon is Awful.I’m extremely disappointed with Amazon’s careless methods in delivery.
2.0,October,2023,negative,"Herbal doesn't mean it will clean as well ,poor product"
1.0,January,2024,negative,Very dry just like a powder.. so didn’t like much
2.0,August,2023,positive,Waste
3.0,January,2023,positive,Need to make the product better
3.0,October,2022,positive,It reduces sensitivity thats fine & clean properly 1.but all my tooth turned into yellow after using this paste. 2.Overpriced
3.0,October,2021,negative,The product quality is top notch. Easily migrated from the regular toothpaste. The only problem is of the packaging. The tube head cracks up. I have had two purchases but both of the time the tube cracks up & creates wastage & hassles. If the company focuses on a different package design this product can reach better success.
1.0,December,2023,neutral,Not as expected.
2.0,June,2023,negative,"By seeing false reviews i bought this, after using 2 days i understood this paste is worst."
2.0,July,2023,positive,Pathetic.
2.0,July,2023,neutral,After use no result
3.0,November,2022,negative,Not as good as it seems
1.0,November,2023,negative,Have finished two tubes still no whiting teeth happens .worst experience
2.0,April,2023,negative,"Whenever I use ot, it swells my gums"
1.0,May,2023,negative,I always go for Indian product. I bites activated charcoal paste trust me I have very bad experience. Though sound natural but but I don’t feel a good experience after brushing teeth. The back ingredients you use spoil the basin which not removed easily. I don’t feel the freshness after brushing. You guys need to work out more with the product
2.0,March,2023,negative,While brushing feel like use roasted tobacco powder because of black color
2.0,October,2022,negative,"I tried to give this toothpaste a chance, I really did. But it sucks. I have an electric toothbrush and even that can’t make this toothpaste spread. It just gets stuck to your teeth sometimes. I couldn’t feel any freshness after brushing."
3.0,July,2022,positive,It should taste better
1.0,August,2023,positive,Feels like you haven't brushed your teeth immediately after brushing your teeth with this paste. Wouldn't recommend it.
1.0,October,2023,positive,Foul breath starts immediately
3.0,February,2021,negative,"worst purchase, thank god  , i only brought one piece. i don't feel like it is cleaning teeth, it does not foam at all. taste super bad."
1.0,September,2023,negative,Very bad experience with it .
3.0,November,2021,neutral,I have been using this for 2 months only minor results are visible
1.0,August,2021,negative,"I bught it after watching fittuber video. Used it for some days and began to see that teeth were becoming yellowish brown. I thought the reason could be something elase and started doing oil pulling and other things to remove the yellow stain. I somehow stopped using the paste forthe reason that, feel after brush was of something incomplete and teeth weren't smooth. My father who has been using the paste along with me found thathis teeth too started becoming yellow and they were almost brown in colour. This alarmed him and he stopped using the paste altogether. I am not questioning whether the paste is natural or not. I have no idea to be frank. But for sure from my and my father's experience this toothpaste for some reason makes teeth yellow."
3.0,September,2021,positive,"Its a good product but not giving freshness for all day, flavor is ok."
3.0,November,2020,positive,I like for natural product... ingredients are good and natural...but doesn't work properly...after brushing it seems to me my teeth is not cleaned..but freshness is good
3.0,June,2021,positive,Used only few days as I started experiencing sensitivity on my teeth !!
1.0,July,2021,negative,"Hi,I hardly write any reviews for any of the products I buy and it's my first review ever.I feel many people are going for this toothpaste from a different platform and even using it.This toothpaste is indeed foam free and all-natural (Seems to be at least)But it has very tiny particles in it which will damage your teeth' enamel coating which can be critical in long run.I had this toothpaste tested by the dentist and he says the same not to do this.please don't waste your money on this at least.I bought this used it for one time and then put it in the dustbin"
3.0,December,2020,positive,"I tried charcoal mint toothpaste and it just taste awful.Also,it is foamless .on benefit side,itdo makes teeth brighter and is chemical free."
1.0,August,2023,negative,Worst product... Waste of money
3.0,March,2021,positive,Very high price.Otherwise very nice. I'll prefer another toothpaste if price will not decrease.
1.0,March,2023,negative,"This toothpaste lacks some components. This is the reason I couldn't eat anything sweet, led to toothache. Stopped using it and went back to Patanjali. Fixed my toothache issue in a week.Thrown this into the trash can"
3.0,May,2021,neutral,Don't know how it works maybe later show result
2.0,September,2021,negative,"tried this on fit tuber recommendation, the overall result is not that great, after regular usage i found teeth react quickly with sensation on eating anything sweet., this was never the case with any other toothpaste ..lets see"
3.0,February,2021,positive,It's just ok ....got it because of fittuber ...on YouTube ...but not worth ...
2.0,June,2022,neutral,I don't recommend if you like to feel freshness right after brushing your teeth..
1.0,August,2023,positive,Worst product
3.0,May,2021,negative,Cover got torn
1.0,May,2023,negative,Paste has very small sand particles and it will ruin ur teeth. So please don buy.
3.0,March,2020,neutral,"I thought I wouldn't be picky about the taste... but yeh, it doesn't taste its best... feels natural, however"
2.0,June,2021,negative,"Quality of the tube of the toothpaste i.e. is bad. Shortly after I started using the toothpaste, the tube at the top cracked open due to which slowly the paste dried out. The charcoal toothpaste taste isn't impressive."
1.0,June,2023,positive,Its most useless productNot at all effective
3.0,March,2021,positive,Good
1.0,December,2022,negative,Can't keep your teeths clean even after brushing twice a day. Cavity grows within few hours bad breath feels after few hours.
1.0,March,2021,positive,"The paste is good & I really like that it's toxic free , but the tube is pathetic . I ordered 2 paste & both paste had the same problem the top of the tooth paste was so weak that it came off in just few days . So now the entire paste is of no use Even if it's so good."
1.0,November,2020,negative,Don't go for it...Agree that it has no harsh chemicals butU feel nothing while brushing its like u doin brushing without pasteYou have to use it in alot quantity but still u feel u didn't brushA big NoPlus they say no delivery charges but at the time parcels come 50 rupees including as a delivery charges mnz wasted  200 rupees for this😔😐
1.0,November,2022,negative,Waste of money no use.. if u think your teeth will glow by using this toothpaste...you are wrong .don't buy this nonsense
1.0,May,2023,negative,Package and product was both damaged...
2.0,July,2021,positive,"Freshness is okayy ..Taste is okayy..Waste money on this product ,not okayy!!"
2.0,February,2021,neutral,Not such a different product than the ordinary ones available in the market. No significant difference. Same as any other toothpaste which cleans but with less foam
1.0,July,2021,negative,"After reading the reviews, I have bought this toothpaste. I understand that it is natural and foam free paste but after brush it is not leaving any fresh feel or breath. I doubt that it is cleaning the teeth properly. I am writing this review after one week of usage. My verdict is don't waste your money."
2.0,July,2021,negative,Just not Good for me. Further it left the stain on basin.
1.0,August,2022,negative,No freshness and colour of tooth paste is grey so wash basin is looking very dirty after using to this tooth paste.
2.0,March,2021,negative,Not so much good as per expectations
2.0,July,2021,negative,my teeth are turning yellow.
2.0,February,2021,negative,Low quality plastic used cap broken
1.0,October,2021,negative,Not value for moneyCheap quality plastic used to build is very shameful that they are giving this low quality material at this price
1.0,October,2022,negative,Not recommended by doctors as it doesn't have Floride.
1.0,June,2022,negative,After use thise I have problem in my mouth
1.0,March,2022,negative,"No freshness, not at all whitening properties just fake promises to attract customers."
1.0,August,2021,negative,Don't buy this product. it has use less quality.i can't even get my refund now. :(
1.0,December,2021,negative,It is extremely bitter in taste 🤢 and you will have to bear it every morning 😡🤢🤢
1.0,November,2021,negative,"It makes ur lips dry, don't know how,. Worse experience, I buy 4 quantity, n it's not returnable"
1.0,July,2020,negative,"I’ve used toothpaste from this brand before and it was okay.This one, however, smells absolutely foul. It feels like cleaning your teeth in the morning with poop. It is unbelievable!"
1.0,July,2022,neutral,Not as advertised
1.0,July,2022,negative,Not suitable
1.0,December,2020,positive,the smell is awful..its like a rotten egg..i wish i had believed a comment that i read which stated the same..DONT BUY!
2.0,September,2023,positive,"Very strong taste and feels like soil or Clay , make  me 🤮vomit everytime I brush , ......my experience... #"
1.0,July,2021,positive,"Age old formulation all that stuff is good, but not working well"
1.0,August,2021,negative,I arise many problem when I started use this paste.
1.0,June,2021,positive,Very bed qualityTooth yellow hone lage use karte karte
1.0,December,2021,negative,the flavour is masked due to its excess sweet taste.
1.0,November,2021,positive,
1.0,June,2021,negative,Taste was very bad. waste of money
1.0,August,2021,positive,West of money
1.0,March,2021,negative,Very bad product.  Don't go for it
1.0,August,2021,negative,Really smells bad.
1.0,December,2020,negative,Not good
1.0,December,2020,positive,😞
1.0,February,2020,negative,Waste of money
2.0,June,2022,positive,"Sweet, minty, black paste, with wierd smell. Different taste i would say. Try if you like minty with charcoal type flavour"
1.0,January,2023,negative,Waste of money productNa flavor acha hai na teeth white. Hote h.. logo ko bevkuf mt bnao Amazon se isliye product nhi mangata ab
1.0,July,2021,negative,Not a value for money product.!In our opinion it's still need improvement in its tooth care submission at par with peers.
1.0,September,2020,negative,I got this toothpaste in best condition.. it was sealed so i was happy but then At first I was skeptical...As It's all natural i thought it will show results after 1 months but within 2 days i can feel and see my teeth were clean and whiter... I couldn't believe because it never foamed in my mouth but I'm shocked to see the resultsReview after 1 monthPlz don't use this paste.. it makes teeth yellow..and cause ulcer in mouth.. i stopped using after feeling changes in my mouth
1.0,December,2021,negative,"Charcoal is very toxic for teeth. Makes them sensitive. Sadly return isn't possible and I am stuck with two of them. American Dental Association has not found any evidence that charcoal toothpaste is safe or effective, and it may actually harm the teeth and gums. Charcoal toothpaste is advertised as a whitening agent that can remove particles from the teeth, but this is a misleading claim"
,July,2023,positive,The product is okay so so
,on,14,negative,Horrible it is not good do not buy this after my first use today my teeth became sensitive it causes you to feel the cold which makes it a little painful. Do not buy this it’s horrible bad product I wasted money tossing in the garbage 🗑️!!!
